,location,date,people_fully_vaccinated_per_hundred
442,Afghanistan,2021-05-11,0.14
451,Afghanistan,2021-05-20,0.2
455,Afghanistan,2021-05-24,0.25
457,Afghanistan,2021-05-26,0.29
458,Afghanistan,2021-05-27,0.29
461,Afghanistan,2021-05-30,0.31
464,Afghanistan,2021-06-02,0.37
465,Afghanistan,2021-06-03,0.38
470,Afghanistan,2021-06-08,0.41
476,Afghanistan,2021-06-14,0.46
484,Afghanistan,2021-06-22,0.47
841,Africa,2021-02-03,0.0
842,Africa,2021-02-04,0.0
843,Africa,2021-02-05,0.0
844,Africa,2021-02-06,0.0
846,Africa,2021-02-08,0.0
847,Africa,2021-02-09,0.0
848,Africa,2021-02-10,0.0
849,Africa,2021-02-11,0.0
850,Africa,2021-02-12,0.0
851,Africa,2021-02-13,0.0
853,Africa,2021-02-15,0.0
854,Africa,2021-02-16,0.0
855,Africa,2021-02-17,0.0
856,Africa,2021-02-18,0.0
857,Africa,2021-02-19,0.0
858,Africa,2021-02-20,0.0
859,Africa,2021-02-21,0.0
860,Africa,2021-02-22,0.01
861,Africa,2021-02-23,0.01
862,Africa,2021-02-24,0.01
863,Africa,2021-02-25,0.01
864,Africa,2021-02-26,0.01
865,Africa,2021-02-27,0.02
866,Africa,2021-02-28,0.02
867,Africa,2021-03-01,0.02
868,Africa,2021-03-02,0.03
869,Africa,2021-03-03,0.03
870,Africa,2021-03-04,0.04
871,Africa,2021-03-05,0.05
872,Africa,2021-03-06,0.05
873,Africa,2021-03-07,0.05
874,Africa,2021-03-08,0.06
875,Africa,2021-03-09,0.06
876,Africa,2021-03-10,0.08
877,Africa,2021-03-11,0.08
878,Africa,2021-03-12,0.1
879,Africa,2021-03-13,0.12
880,Africa,2021-03-14,0.12
881,Africa,2021-03-15,0.14
882,Africa,2021-03-16,0.16
883,Africa,2021-03-17,0.17
884,Africa,2021-03-18,0.17
885,Africa,2021-03-19,0.19
886,Africa,2021-03-20,0.2
887,Africa,2021-03-21,0.2
888,Africa,2021-03-22,0.2
889,Africa,2021-03-23,0.21
890,Africa,2021-03-24,0.23
891,Africa,2021-03-25,0.25
892,Africa,2021-03-26,0.26
893,Africa,2021-03-27,0.27
894,Africa,2021-03-28,0.27
895,Africa,2021-03-29,0.28
896,Africa,2021-03-30,0.29
897,Africa,2021-03-31,0.3
898,Africa,2021-04-01,0.31
899,Africa,2021-04-02,0.31
900,Africa,2021-04-03,0.32
901,Africa,2021-04-04,0.32
902,Africa,2021-04-05,0.32
903,Africa,2021-04-06,0.32
904,Africa,2021-04-07,0.33
905,Africa,2021-04-08,0.33
906,Africa,2021-04-09,0.33
907,Africa,2021-04-10,0.34
908,Africa,2021-04-11,0.34
909,Africa,2021-04-12,0.34
910,Africa,2021-04-13,0.34
911,Africa,2021-04-14,0.34
912,Africa,2021-04-15,0.34
913,Africa,2021-04-16,0.34
914,Africa,2021-04-17,0.34
915,Africa,2021-04-18,0.35
916,Africa,2021-04-19,0.35
917,Africa,2021-04-20,0.35
918,Africa,2021-04-21,0.35
919,Africa,2021-04-22,0.35
920,Africa,2021-04-23,0.35
921,Africa,2021-04-24,0.35
922,Africa,2021-04-25,0.35
923,Africa,2021-04-26,0.35
924,Africa,2021-04-27,0.36
925,Africa,2021-04-28,0.36
926,Africa,2021-04-29,0.36
927,Africa,2021-04-30,0.36
928,Africa,2021-05-01,0.37
929,Africa,2021-05-02,0.37
930,Africa,2021-05-03,0.37
931,Africa,2021-05-04,0.38
932,Africa,2021-05-05,0.38
933,Africa,2021-05-06,0.38
934,Africa,2021-05-07,0.39
935,Africa,2021-05-08,0.39
936,Africa,2021-05-09,0.41
937,Africa,2021-05-10,0.41
938,Africa,2021-05-11,0.42
939,Africa,2021-05-12,0.43
940,Africa,2021-05-13,0.43
941,Africa,2021-05-14,0.44
942,Africa,2021-05-15,0.44
943,Africa,2021-05-16,0.45
944,Africa,2021-05-17,0.45
945,Africa,2021-05-18,0.46
946,Africa,2021-05-19,0.47
947,Africa,2021-05-20,0.48
948,Africa,2021-05-21,0.5
949,Africa,2021-05-22,0.5
950,Africa,2021-05-23,0.51
951,Africa,2021-05-24,0.51
952,Africa,2021-05-25,0.52
953,Africa,2021-05-26,0.53
954,Africa,2021-05-27,0.53
955,Africa,2021-05-28,0.54
956,Africa,2021-05-29,0.54
957,Africa,2021-05-30,0.55
958,Africa,2021-05-31,0.63
959,Africa,2021-06-01,0.65
960,Africa,2021-06-02,0.66
961,Africa,2021-06-03,0.67
962,Africa,2021-06-04,0.68
963,Africa,2021-06-05,0.69
964,Africa,2021-06-06,0.7
965,Africa,2021-06-07,0.72
966,Africa,2021-06-08,0.76
967,Africa,2021-06-09,0.8
968,Africa,2021-06-10,0.82
969,Africa,2021-06-11,0.84
970,Africa,2021-06-12,0.85
971,Africa,2021-06-13,0.85
972,Africa,2021-06-14,0.88
973,Africa,2021-06-15,0.94
974,Africa,2021-06-16,0.95
975,Africa,2021-06-17,0.97
976,Africa,2021-06-18,0.98
977,Africa,2021-06-19,0.99
978,Africa,2021-06-20,1.0
979,Africa,2021-06-21,1.02
980,Africa,2021-06-22,1.03
1324,Albania,2021-02-02,0.0
1331,Albania,2021-02-09,0.02
1339,Albania,2021-02-17,0.02
1340,Albania,2021-02-18,0.02
1344,Albania,2021-02-22,0.02
1422,Albania,2021-05-11,6.31
1423,Albania,2021-05-12,6.53
1424,Albania,2021-05-13,6.7
1425,Albania,2021-05-14,7.12
1428,Albania,2021-05-17,7.75
1429,Albania,2021-05-18,7.95
1430,Albania,2021-05-19,8.15
1431,Albania,2021-05-20,8.26
1432,Albania,2021-05-21,8.33
1434,Albania,2021-05-23,8.47
1435,Albania,2021-05-24,8.68
1437,Albania,2021-05-26,9.35
1438,Albania,2021-05-27,9.63
1441,Albania,2021-05-30,9.97
1442,Albania,2021-05-31,10.09
1443,Albania,2021-06-01,10.19
1445,Albania,2021-06-03,10.33
1448,Albania,2021-06-06,10.64
1449,Albania,2021-06-07,10.78
1450,Albania,2021-06-08,10.97
1451,Albania,2021-06-09,11.14
1452,Albania,2021-06-10,11.28
1453,Albania,2021-06-11,11.42
1454,Albania,2021-06-12,11.51
1455,Albania,2021-06-13,11.54
1456,Albania,2021-06-14,11.63
1457,Albania,2021-06-15,11.83
1458,Albania,2021-06-16,11.99
1459,Albania,2021-06-17,12.21
1462,Albania,2021-06-20,12.68
1463,Albania,2021-06-21,12.87
2320,Andorra,2021-03-08,1.52
2322,Andorra,2021-03-10,1.64
2327,Andorra,2021-03-15,1.64
2348,Andorra,2021-04-05,5.8
2362,Andorra,2021-04-19,6.06
2369,Andorra,2021-04-26,6.06
2376,Andorra,2021-05-03,6.08
2383,Andorra,2021-05-10,6.09
2390,Andorra,2021-05-17,6.09
2404,Andorra,2021-05-31,10.75
2411,Andorra,2021-06-07,14.16
2418,Andorra,2021-06-14,21.25
2845,Angola,2021-05-12,0.12
2851,Angola,2021-05-18,0.23
2854,Angola,2021-05-21,0.39
2859,Angola,2021-05-26,0.6
2864,Angola,2021-05-31,0.7
2872,Angola,2021-06-08,1.14
2874,Angola,2021-06-10,1.36
2879,Angola,2021-06-15,1.5
2884,Angola,2021-06-20,1.56
2964,Anguilla,2021-04-22,5.22
2989,Anguilla,2021-05-17,29.49
3000,Anguilla,2021-05-28,36.26
3007,Anguilla,2021-06-04,36.75
3014,Anguilla,2021-06-11,38.78
3021,Anguilla,2021-06-18,40.09
3452,Antigua and Barbuda,2021-05-17,2.64
3456,Antigua and Barbuda,2021-05-21,7.2
3460,Antigua and Barbuda,2021-05-25,9.45
3461,Antigua and Barbuda,2021-05-26,11.59
3462,Antigua and Barbuda,2021-05-27,13.19
3464,Antigua and Barbuda,2021-05-29,15.45
3466,Antigua and Barbuda,2021-05-31,17.22
3469,Antigua and Barbuda,2021-06-03,18.56
3472,Antigua and Barbuda,2021-06-06,21.95
3473,Antigua and Barbuda,2021-06-07,23.38
3475,Antigua and Barbuda,2021-06-09,23.93
3478,Antigua and Barbuda,2021-06-12,24.35
3481,Antigua and Barbuda,2021-06-15,24.84
3483,Antigua and Barbuda,2021-06-17,27.16
3874,Argentina,2021-01-20,0.01
3875,Argentina,2021-01-21,0.04
3876,Argentina,2021-01-22,0.06
3877,Argentina,2021-01-23,0.06
3878,Argentina,2021-01-24,0.07
3879,Argentina,2021-01-25,0.07
3880,Argentina,2021-01-26,0.09
3881,Argentina,2021-01-27,0.1
3882,Argentina,2021-01-28,0.11
3883,Argentina,2021-01-29,0.15
3884,Argentina,2021-01-30,0.19
3886,Argentina,2021-02-01,0.21
3888,Argentina,2021-02-03,0.25
3889,Argentina,2021-02-04,0.32
3891,Argentina,2021-02-06,0.36
3892,Argentina,2021-02-07,0.4
3893,Argentina,2021-02-08,0.42
3894,Argentina,2021-02-09,0.42
3895,Argentina,2021-02-10,0.44
3896,Argentina,2021-02-11,0.47
3897,Argentina,2021-02-12,0.49
3898,Argentina,2021-02-13,0.52
3899,Argentina,2021-02-14,0.53
3900,Argentina,2021-02-15,0.53
3901,Argentina,2021-02-16,0.53
3902,Argentina,2021-02-17,0.53
3903,Argentina,2021-02-18,0.54
3904,Argentina,2021-02-19,0.56
3905,Argentina,2021-02-20,0.58
3906,Argentina,2021-02-21,0.58
3907,Argentina,2021-02-22,0.58
3908,Argentina,2021-02-23,0.59
3909,Argentina,2021-02-24,0.59
3910,Argentina,2021-02-25,0.6
3911,Argentina,2021-02-26,0.63
3912,Argentina,2021-02-27,0.64
3913,Argentina,2021-02-28,0.65
3914,Argentina,2021-03-01,0.65
3915,Argentina,2021-03-02,0.67
3916,Argentina,2021-03-03,0.68
3917,Argentina,2021-03-04,0.69
3918,Argentina,2021-03-05,0.72
3920,Argentina,2021-03-07,0.76
3921,Argentina,2021-03-08,0.76
3922,Argentina,2021-03-09,0.77
3923,Argentina,2021-03-10,0.77
3924,Argentina,2021-03-11,0.78
3925,Argentina,2021-03-12,0.84
3926,Argentina,2021-03-13,0.93
3927,Argentina,2021-03-14,0.99
3928,Argentina,2021-03-15,1.0
3929,Argentina,2021-03-16,1.06
3930,Argentina,2021-03-17,1.1
3931,Argentina,2021-03-18,1.14
3932,Argentina,2021-03-19,1.23
3933,Argentina,2021-03-20,1.31
